tax	1210-MG	1211-MG	1212-MG	1213-MG	1214-MG	1215-MG	1216-MG	1217-MG	551-MG	552-MG	553-MG	554-MG	555-MG	556-MG	557-MG	900-MG	901-MG	902-MG	903-MG	904-MG	905-MG	906-MG	907-MG	total
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus	0	2	0	0	0	2	0	0	0	0	0	0	4	0	28	12	0	0	0	0	6	0	0	54
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter	0	0	1	28	0	0	5	0	0	0	16	0	0	0	0	0	0	0	0	4	0	0	0	54
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	0	47	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Salinimicrobium	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	52
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella	5	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	51
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Streptomycetales;Streptomycetaceae;Streptomyces	10	36	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	51
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Brucellaceae;Brucella	0	0	0	5	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus	0	0	0	0	0	27	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Sphaerotilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	47
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Corynebacteriales;Nocardiaceae;Rhodococcus	0	0	9	0	0	0	8	0	0	3	20	0	0	0	0	6	0	0	0	0	0	0	0	46
Bacteria;Bacteria_none;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae;Deinococcus	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Qipengyuania	34	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Hyphomicrobium	0	22	0	5	1	0	3	0	0	0	0	0	0	0	5	0	0	0	0	0	8	0	0	44
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium	32	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	1	0	0	0	43
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Verticiella	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Fictibacillus	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Aurantimonadaceae;Aureimonas	0	0	0	0	0	0	0	0	0	0	13	0	0	0	20	0	0	0	0	0	0	0	9	42
